# nodes,# pkt/sec,speed,avg throughput,avg delay,% pkt received, %pkt lost
20,100,5,22.5858,0.0048515,39.4564,60.1586
40,100,5,5.01941,0.0798133,26.8977,70.3309
70,100,5,3.68296,0.183718,18.389,77.5353
100,100,5,2.55052,0.140163,14.0836,81.3112
20,100,5,22.5858,0.0048515,39.4564,60.1586
20,200,5,24.2493,0.0433753,37.3143,61.53
20,300,5,20.3963,0.0454392,29.6018,69.2743
20,400,5,18.9645,0.0684337,26.6179,72.2722
20,100,5,22.5858,0.0048515,39.4564,60.1586
20,100,10,10.9469,0.0117871,32.5452,66.1156
20,100,15,8.80481,0.0202506,31.5406,66.4374
20,100,20,23.7362,0.0293111,29.4836,67.8819
