# nodes,# pkt/sec,speed,avg throughput,avg delay,% pkt received, %pkt lost
20,100,5,46.1887,0.0227334,48.8994,48.7444
40,100,5,26.0216,0.0923735,29.6656,65.1986
70,100,5,12.4618,0.137689,20.4612,75.1924
100,100,5,12.4529,0.191162,16.2653,77.797
20,100,5,46.1887,0.0227334,48.8994,48.7444
20,200,5,44.2277,0.0550819,39.9194,56.9409
20,300,5,51.3894,0.0840878,35.2816,61.1155
20,400,5,67.927,0.117904,31.4015,62.522
20,100,5,46.1887,0.0227334,48.8994,48.7444
20,100,10,33.0122,0.00891899,34.3605,59.8779
20,100,15,27.2068,0.00951157,32.2105,62.1912
20,100,20,22.2246,0.018312,34.892,63.1379
